MUNICIPALITY/CITY,Section A,Section B,Section C,Section D,Section E,Section F
Agdangan,9,0,9,0,0,2
Alabat,20,0,15,0,0,6
Atimonan,35,2,52,1,2,17
Buenavista,26,2,7,0,1,2
Burdeos,30,0,12,1,0,0
Calauag,19,0,22,0,0,2
Candelaria,64,0,98,2,1,61
Catanauan,17,3,42,2,1,6
Dolores,20,1,26,0,2,7
General Luna,8,0,14,1,1,2
General Nakar,16,0,11,1,0,4
Guinayangan,25,0,14,4,0,4
Gumaca,69,0,49,3,0,12
Infanta,38,6,62,3,0,19
Jomalig,0,0,3,0,0,0
Lopez,34,0,82,3,0,9
Lucban,55,0,91,3,0,23
Lucena,24,0,244,4,4,188
Macalelon,8,0,27,6,1,1
Mauban,28,0,36,6,1,19
Mulanay,53,1,8,0,0,0
Padre Burgos,15,0,10,2,0,0
Pagbilao,40,0,56,5,3,32
Panukulan,19,0,29,1,0,0
Patnanungan,5,0,2,1,0,2
Perez,12,0,11,1,0,3
Pitogo,10,0,12,1,0,1
Plaridel,4,0,7,0,0,4
Polillo,30,0,12,2,0,2
Quezon,11,2,11,0,0,0
Real,3,0,15,2,0,7
Sampaloc,17,0,21,0,0,5
San Andres,10,0,11,0,0,2
San Antonio,35,0,16,1,1,8
San Francisco,25,0,5,0,0,1
San Narciso,6,0,4,2,0,15
Sariaya,57,14,104,2,4,43
Tagkawayan,21,1,40,1,2,5
Tayabas,26,0,129,0,4,35
Tiaong,44,0,51,2,2,29
Unisan,18,0,37,0,0,3

